task,episode,gt_error_type,gt_failure_reason,pred_failure_reason,human_score
boilWater,boilWater-2,planning,The robot cannot pick up the pot due to a bread occluding the pot.,"At 00:08, the robot attempted to pick up the pot, but the observation still shows the pot on the countertop and nothing in the gripper, so the grasp failed. The failure was likely caused by an unsuccessful or misaligned grasp on the pot.",0
boilWater,boilWater-1,execution,Dropped Pot,"The failure at 00:44 happened because the robot tried to put the pot on the fourth stove burner, but by 00:38–00:43 the pot was no longer in its gripper or visible near the stove. The likely cause is that the robot dropped the water-filled pot during transport at 00:36, supported by the auditory cue “object drops or cracks on hard surface,” so there was no pot to place at 00:44.",1
boilWater,boilWater-10,execution,"The robot put the pot in sink after the faucet was turned off, as a result, the pot was not filled with water.","The plan never actually filled the pot with water. It turned the faucet on and off before placing the pot in the sink, so the pot remained empty even though it was later placed on a burner that was turned on.",1
boilWater,boilWater-4,execution,The robot failed to toggle on faucet.,"At 00:26, the robot attempted to toggle on the faucet, but the observation still shows the faucet as turned off, so the action failed. This caused the failure because the pot placed in the sink at 00:25 remained empty, preventing the robot from filling it with water to boil.",1
boilWater,boilWater-5,planning,"The robot mis-identified pan as pot, and picked up the pan instead of the pot.","At 00:24, the robot attempted to pick up the pot, but the observation shows a pan ended up in the gripper instead. This failure was likely caused by misidentifying or confusing the pot with a nearby pan after repeatedly moving around the pot area between 00:17 and 00:21.",1
boilWater,boilWater-3,planning,"An apple is inside the pot at the beginning of the task execution, and the robot never removed it from the pot.","The plan achieved the boiling setup for the pot, but it ignored the apple: at the end, the apple was still on top of the pot and also on the active burner. So the robot failed because it never removed the apple before placing the pot on the stove and turning the burner on.",1
boilWater,boilWater-7,execution,"The robot forgot to pick up the pot from sink, as a result, nothing was placed on the fourth stove burner.","At 00:41, the robot attempted to put the pot on the fourth stove burner, but the pot was not in its gripper anymore—it had been left in the sink at 00:25 and never picked back up after filling it at 00:28–00:31. The failure happened because the robot moved to the stove empty-handed at 00:39–00:40 and then tried to place a pot it was not holding.",1
boilWater,boilWater-6,execution,"The robot never executed the actions to toggle on and off the faucet, as a result, the pot was never filled with water.","The plan never included filling the pot with water. Although the pot ended up on a burner that was turned on, the pot was still empty, so the goal condition for boiling water was not satisfied.",1
boilWater,boilWater-8,execution,The robot should use a pot instead of a bowl to boil water. The bowl cannot be put on the stove burner.,"At 00:54, the robot attempted to put the bowl on the fourth stove burner, but the bowl was still in the gripper afterward, so the placement failed. The likely cause is that the robot misaligned with the burner or did not execute the release properly after moving to the stove at 00:48–00:51.",0
boilWater,boilWater-9,planning,The robot put the pot on the fourth stove burner but toggled on the second stove burner (instead of the fourth stove burner).,"The plan turned on a different stove burner than the one holding the pot. At the end, the pot was on the fourth burner, but only the second burner was on, so the water was not being heated.",1
cookEgg,cookEgg-1,execution,Dropped Egg,"At 00:42, the robot attempted to put the egg on the countertop, but it had already lost the egg earlier—likely when the egg cracked at 00:33 and the gripper became empty by 00:35. The failure was caused by mishandling the egg near the stove, so there was no egg left to place or cook.",1
cookEgg,cookEgg-10,planning,The robot toggled on the fourth stove burner but put the pan on the first stove burner instead.,"At 01:00, the robot placed the pan on the first stove burner, but that burner was still off, so cooking could not start. The failure was caused earlier at 00:33, when the robot appears to have turned on the fourth burner instead of the first burner it was moving toward.",1
cookEgg,cookEgg-2,planning,The robot failed to put the pan on the first stove burner because there was already a pot on it.,"At 00:58, the robot failed to place the pan on the first stove burner because that burner was already occupied by a pot, as seen from 00:35 and again at 00:52–00:58. The task had already gone off track earlier when the robot put the egg down on the countertop at 00:44 instead of cracking it into cookware, so it was trying to use the wrong burner setup with the egg not being cooked.",1
cookEgg,cookEgg-3,planning,"A potato is inside the pan at the beginning of the task execution, and the robot never removed it from the pan.","The plan never ensured the stove burner was clear before placing the pan, so the potato remained on the first burner and ended up on top of the pan. Although the egg was cracked into the pan and the burner was on, the plan failed because it ignored the obstructing potato and did not properly prepare the cooking area.",1
cookEgg,cookEgg-4,execution,The robot failed to open the fridge.,"At 00:05, the robot attempted to open the fridge, but the observation still shows the fridge remained closed, so the open action failed. The likely cause is that it had only moved to the fridge at 00:01 and 00:04 without successfully manipulating the handle or being properly positioned to open it.",1
cookEgg,cookEgg-6,execution,The robot never cracked the egg and put an uncracked egg in the pan.,"At 01:20, the robot failed because it tried to “put cracked egg in pan,” but the egg was still observed as not cracked, so it placed the whole egg onto the pan/burner instead of opening it into the pan. The mistake stems from earlier inconsistent crack signals around 00:33 (and possibly 00:13), which did not result in an actually cracked egg before the transfer.",1
cookEgg,cookEgg-5,planning,"The robot mis-identified book as pan, and picked up the book instead of the pan. The book cannot be put on the stove burner.","At 01:01, the robot failed to pick up the pan because its gripper was already holding a book, as shown in the final observation. This likely happened due to an earlier mistaken grasp or object swap, and the robot had also set the egg down on the countertop at 00:58 instead of using it with the pan.",1
cookEgg,cookEgg-7,execution,"The robot never opened the fridge, as a result, it could not retrieve the egg from fridge.","At 00:14, the robot attempted to pick up the egg, but the gripper was still empty and the fridge was still closed. The failure was caused by trying to grasp the egg without first opening the fridge and accessing or locating the egg after only moving near the fridge at 00:01–00:11.",1
cookEgg,cookEgg-9,execution,The robot did not put down the egg in its gripper before trying to pick up the pan.,"At 00:44, the robot failed because it tried to pick up the pan while its gripper was already occupied holding the egg, so the pan could not be grasped. The setup leading to this is visible from 00:10 through 00:41, where the egg remains in the gripper the entire time.",1
cookEgg,cookEgg-8,execution,"The pan is dirty at the beginning of the task execution, and the robot never cleaned the pan.","At 01:22, the robot cracked the egg while still holding it, and the observation shows the cracked egg remained in the gripper instead of being released into the pan. The failure was caused by poor positioning/alignment with the pan—despite moving toward it at 01:16–01:21, the pan is observed above the egg, suggesting the egg was cracked outside or below the pan, likely onto a hard surface.",0
heatPotato,heatPotato-1,execution,Dropped Plate,"The failure at 01:10 happened because the robot had already dropped the plate and potato while moving to the microwave around 00:44, as indicated by the “object drops or cracks on hard surface” audio and the later observations showing both items on the floor/away from the gripper at 00:46–00:56. So at 01:10, it tried to put the plate on the countertop with an empty gripper, meaning it had lost the potato and plate earlier and could no longer heat the potato.",1
heatPotato,heatPotato-10,planning,"The robot should not toggle on the microwave before trying to open it. As a result, the robot cannot open a microwave that is turned on.","At 01:34, the robot failed to open the microwave because it had already turned the microwave on at 01:31 while the door was still closed. The potato was never placed inside the microwave after being set on the countertop at 01:21, so the robot was trying to open a running microwave instead of heating the potato.",1
heatPotato,heatPotato-2,planning,"A bowl is already inside the microwave, as a result, the plate cannot be put inside the microwave due to limited space.","At 01:55, the robot failed to place the plate with the potato into the microwave because the microwave was already occupied by a bowl that was visible after opening it at 01:31. The failure was caused by not clearing the bowl first, so even after returning with the plate at 01:52, the plate remained in the gripper instead of being inserted.",1
heatPotato,heatPotato-5,execution,"The robot never opened the microwave, as a result, the plate cannot be put inside the microwave.","At 01:12, the robot failed to put the plate with the potato into the microwave because the microwave was still closed. This is evident from 01:09 through 01:12, where the microwave is observed as “closed and turned off,” so the robot attempted insertion without opening the door first.",1
heatPotato,heatPotato-4,execution,The robot failed to open the microwave.,"At 01:07, the robot failed to open the microwave—the observation still shows it as “closed and turned off” after the open action. The likely cause is that earlier, by 00:39, the robot had left the potato on the plate on the dining table and moved to the microwave empty-handed, so it was not properly progressing toward heating the potato.",1
heatPotato,heatPotato-3,planning,"An apple is inside the plate already and the robot never removed it, as a result, the potato cannot be put on top of the plate due to limited plate.","At 00:37, the robot tried to put the potato on the plate, but the plate was already occupied by an apple (seen at 00:33–00:34). As a result, the potato was placed on the dining table next to the plate instead of on it, causing the heating task to fail.",1
heatPotato,heatPotato-6,planning,"The robot mis-identified apple as potato, and heated an apple instead of a potato.","At 00:23, the robot attempted to pick up the potato but instead picked up an apple, as shown by the observation that the apple was in the gripper. The failure was caused by misidentifying or confusing the target object after moving toward the potato at 00:01 and 00:20.",1
heatPotato,heatPotato-7,execution,"The plate is dirty at the beginning of the task execution, and the robot never cleaned it.","The plan failed because it put the potato on the plate before moving the plate into the microwave, but then placed the plate on the countertop and never ensured the potato was still on the plate afterward. At the end, both the plate and potato were in the microwave, but the potato was not confirmed to be on the plate, so the goal condition was not satisfied.",0
heatPotato,heatPotato-8,execution,The robot should use a microwave-safe container (e.g. Plate) to heat the potato instead of a pan.,"At 01:45, the robot failed to place the pan into the microwave—the pan was still in the gripper afterward, so the insertion did not succeed. The likely cause is that it tried to heat the potato while it was still on/in a pan, and the pan either did not fit or was incompatible with the microwave; the earlier drop/crack sound at 01:21 may also indicate a positioning issue near the microwave.",1
heatPotato,heatPotato-9,planning,"The robot should have closed the microwave before trying to toggle it on. As a result, the robot could not toggle on a microwave that is open.","At 01:58, the robot tried to turn on the microwave while the microwave door was still open, so it did not start heating. The cause is that after opening it at 01:31 and placing the plate inside at 01:55, the robot never performed a close-microwave action before toggling it on.",1
makeCoffee,makeCoffee-1,execution,Dropped Mug,"At 00:22, the robot attempted to put the mug on the sink, but the mug was no longer in its gripper. The failure was likely caused earlier at 00:19, when the mug was dropped—supported by the gripper being empty and the auditory cue of an object dropping or cracking on a hard surface.",1
makeCoffee,makeCoffee-10,planning,"The robot put the mug inside the coffee machine after the coffee machine was turned off, as a result, the mug remained empty.","The plan cleaned the mug, but it never actually filled it with coffee. The robot turned the coffee machine on and off before placing the mug in it, so the mug ended empty on the countertop instead of filled with coffee.",1
makeCoffee,makeCoffee-2,execution,Dropped Mug,"The failure at 00:46 happened because the robot tried to put the mug into the coffee machine, but it no longer had the mug. The mug was likely dropped at 00:39, as indicated by the gripper becoming empty and the auditory cue “object drops or cracks on hard surface,” so the placement action failed.",1
makeCoffee,makeCoffee-4,execution,"The mug was already filled with water at the beginning of the task execution, and the robot never emptied it.","The plan never ensured the mug contained coffee; the final state shows it was filled with water, so putting it in the machine and toggling it on/off did not achieve the goal. In short, the robot treated a water-filled mug as finished coffee and placed it on the countertop without actually making coffee.",1
makeCoffee,makeCoffee-3,planning,"The robot failed to put the mug inside the coffee machine because there was already a cup inside it, occupying the space.","At 00:48, the robot failed to place the mug into the coffee machine: the observation still shows the mug in the gripper while a cup was already inside the machine. The failure was likely caused by the coffee machine being occupied/blocked by that cup from 00:39 onward, so the mug could not be inserted.",1
makeCoffee,makeCoffee-5,execution,The robot failed to put the mug inside the sink (or on top of the sink basin).,"At 00:22, the robot attempted to put the mug on the sink, but the observation shows the mug was still in the gripper, so the place action failed. The likely cause is an unsuccessful release or misalignment over the sink, after carrying the still empty, dirty mug from 00:17–00:21.",1
makeCoffee,makeCoffee-6,planning,"The robot mis-identified bowl as mug, as a result, the bowl cannot be put inside the coffee machine.","At 00:23, the robot attempted to pick up the mug but instead grasped a bowl, as shown by the observation that the bowl was in the gripper. The failure was likely caused by misidentifying or mislocalizing the mug during the earlier moves at 00:01 and 00:20, leading it to the wrong object.",1
makeCoffee,makeCoffee-8,execution,"The mug is dirty at the beginning of the task execution, and the robot never cleaned the mug.","The plan never ensured the mug was clean before making coffee. Although the mug ended up filled with coffee and placed on the countertop, it was still dirty, so the goal condition was not satisfied.",1
makeCoffee,makeCoffee-7,execution,"The robot never executed the action to pour water from mug after cleaning it. As a result, the mug cannot be filled with coffee.","The plan rinsed the mug in the sink, so it ended up filled with water, and then put that mug into the coffee machine without emptying it first. As a result, the final state was a clean mug filled with water, not coffee, so the goal was not achieved.",1
makeCoffee,makeCoffee-9,execution,"The robot plan should not use a bowl instead of a mug or cup to make coffee. As a result, the bowl cannot be put inside the coffee machine.","At 00:50, the robot failed to place the bowl into the coffee machine—the observation still shows the bowl inside the gripper after the “Put bowl in coffee machine” action. The likely cause is that the robot was using the wrong object for the coffee-making task, and the coffee machine was also still turned off at 00:47–00:50.",1
makeSalad,makeSalad-10,execution,"Failed to successfully execute (pick_up, TomatoSliced)","At 02:38, the robot attempted to put the lettuce slice into the bowl, but the slice ended up still on the countertop “above bowl” instead of inside it, while the gripper became empty. The failure was caused by an inaccurate placement/drop near the bowl after picking up the lettuce slice at 02:35, so the salad ingredient was misplaced rather than deposited into the bowl.",0
makeSalad,makeSalad-1,execution,Wrong order - knife is put on countertop before slicing tomato,"At 02:05, the robot attempted to slice the potato even though it had just put the knife down at 02:04, so the gripper was empty and the slice action could not be executed. The failure was caused by performing a cutting action without holding the required tool.",1
makeSalad,makeSalad-2,execution,Wrong plan - potato slice is put in pan instead of the bowl,"At 02:31, the robot failed because it put the potato slice into/near the pan instead of into the bowl, even though the salad ingredients were supposed to be combined in the bowl before storing. This mistake likely came from mis-targeting after picking up the potato slice at 02:28, since lettuce and tomato had already been correctly placed in the bowl at 02:19 and 02:25.",1
makeSalad,makeSalad-4,planning,Wrong perception: pan and bowl,"At 03:08, the robot failed to pick up the bowl and instead grasped the pan, as shown by the final observation where the action is “Pick up bowl” but the pan is in the gripper while the bowl remains on the countertop. The failure was likely caused by mislocalization/object confusion near the bowl area after returning from the fridge (around 03:00–03:05).",1
makeSalad,makeSalad-5,execution,Missing step - slice potato,"At 02:30, the robot attempted to put the lettuce slice into the bowl, but the slice ended up above/on the countertop near the bowl instead of inside it. The failure was likely caused by inaccurate placement/alignment around the crowded bowl area after slicing (seen from 02:17–02:27, with knife and other ingredients close by), so the drop missed the bowl.",0
makeSalad,makeSalad-3,execution,Wrong plan - apple instead of tomato,"At 02:20, the robot attempted to put the apple slice into the bowl, but the observation shows the apple slice ended up back on the first countertop while the gripper became empty, so the placement failed. The likely cause is a misplacement/drop during the transfer to the bowl, and there is also evidence of inconsistent state tracking earlier since slices that were previously reported in the bowl still appear on the countertop.",1
makeSalad,makeSalad-7,execution,"Missing (pick_up, LettuceSliced), (put_in, LettuceSliced, Bowl)","The plan never put the lettuce slice into the bowl, so the salad in the fridge was missing lettuce. Although the bowl, tomato, and potato ended up in the fridge, the lettuce slice was left on the countertop, so the goal condition was not satisfied.",1
makeSalad,makeSalad-6,execution,"Failed to successfully execute (pick_up, Bowl)","At 03:00, the robot failed to pick up the bowl—the observation still shows the bowl on the first countertop and the gripper empty after the pickup attempt. The likely cause is that the salad ingredients were not fully transferred into the bowl earlier (e.g., at 02:25 and 02:31 potato and tomato slices are still reported on the countertop as well as in the bowl), suggesting misplacement/perception errors that left the scene cluttered and may have interfered with grasping.",1
makeSalad,makeSalad-8,execution,"Failed to successfully execute (put_on, Tomato, CounterTop)","At 01:19, the robot attempted to put the tomato on the countertop near the bowl, but the tomato remained inside the gripper, so the place action failed. This likely happened because the robot targeted an occupied/cluttered area around the bowl and lettuce (seen at 01:16–01:18), preventing a successful release.",1
storeEgg,storeEgg-1,execution,Wrong plan - robot puts pan instead of bowl in the fridge,"The plan never included putting the bowl with the egg into the fridge. It only placed the egg into the bowl on the dining table, then stored the pan and closed the fridge, so the goal condition was not met.",1
