task,episode,gt_error_type,gt_failure_reason,pred_failure_reason,human_score
boilWater,boilWater-1,execution,Dropped Pot,"At 00:31, the robot prematurely turned off the faucet while water was still visibly running in the sink, causing a failure to fill the pot with the intended amount of water. This error occurred because the robot's auditory observation of running water likely triggered a safety or completion protocol that incorrectly interpreted the task as finished, ignoring the visual evidence that the pot had not yet been sufficiently filled.",0
boilWater,boilWater-10,execution,"The robot put the pot in sink after the faucet was turned off, as a result, the pot was not filled with water.","At 00:28, the robot prematurely turned off the faucet while the pot was still empty and not positioned under the stream, causing the water flow to run into the sink instead of filling the pot. This failure occurred because the robot failed to verify that the pot was correctly placed under the faucet before stopping the water supply.",1
boilWater,boilWater-2,planning,The robot cannot pick up the pot due to a bread occluding the pot.,"At 00:08, the robot failed to successfully pick up the pot because its gripper remained empty despite the action command, likely due to a misalignment between the gripper and the pot or a failure in the grasping mechanism. Consequently, the robot could not proceed with the task of boiling water as the pot was not secured.",0
boilWater,boilWater-4,execution,The robot failed to toggle on faucet.,"At 00:26, the robot attempted to turn on the faucet to fill the pot, but the visual observation still showed the faucet as ""turned off,"" indicating the action failed. This failure was likely caused by the robot's inability to successfully toggle the faucet on, preventing the water from flowing into the pot.",0
boilWater,boilWater-3,planning,"An apple is inside the pot at the beginning of the task execution, and the robot never removed it from the pot.","The robot plan failed because it omitted the critical step of filling the pot with water before placing it on the stove, resulting in an empty pot despite the burner being turned on. Additionally, the plan left an apple on top of the pot, which violates the implicit requirement for a clean cooking vessel.",0
boilWater,boilWater-5,planning,"The robot mis-identified pan as pot, and picked up the pan instead of the pot.","At 00:24, the robot successfully picked up the pot, but the failure occurred because the gripper contained a ""pan"" instead of the intended empty pot, indicating a misidentification or grasping error where the wrong object was secured. This mistake prevented the robot from proceeding with the task of boiling water as planned.",1
boilWater,boilWater-6,execution,"The robot never executed the actions to toggle on and off the faucet, as a result, the pot was never filled with water.","The robot plan failed because it placed the pot on the fourth burner and turned it on, but it completely omitted the step of filling the pot with water from the sink. Consequently, the final state shows an empty pot on a lit burner, which does not satisfy the task requirement of boiling water.",1
boilWater,boilWater-7,execution,"The robot forgot to pick up the pot from sink, as a result, nothing was placed on the fourth stove burner.","At 00:31, the robot prematurely turned off the faucet while water was still visibly running in the sink, causing a failure to fill the pot with the intended amount of water. This error occurred because the robot's auditory observation of running water likely triggered a safety or completion protocol that incorrectly interpreted the task as finished, ignoring the visual evidence that the pot had not yet been sufficiently filled.",0
boilWater,boilWater-8,execution,The robot should use a pot instead of a bowl to boil water. The bowl cannot be put on the stove burner.,"At 00:39, the robot prematurely turned off the faucet while water was still running, causing the failure to boil water. This error occurred because the robot likely misinterpreted the auditory observation of running water as a signal that the water flow had stopped or that the task was complete, rather than recognizing that the faucet needed to remain on to heat the water in the bowl.",0
boilWater,boilWater-9,planning,The robot put the pot on the fourth stove burner but toggled on the second stove burner (instead of the fourth stove burner).,"At 00:31, the robot prematurely turned off the faucet while water was still visibly running in the sink, causing a failure to fill the pot with the intended amount of water. This error occurred because the robot's visual observation did not detect the ongoing auditory cue of running water, leading it to incorrectly conclude that the filling process was complete.",0
cookEgg,cookEgg-1,execution,Dropped Egg,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the fridge. This action resulted in the egg being broken before it could be cooked.",1
cookEgg,cookEgg-10,planning,The robot toggled on the fourth stove burner but put the pan on the first stove burner instead.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the closed door. This action resulted in the egg being broken before it could be cooked.",0
cookEgg,cookEgg-2,planning,The robot failed to put the pan on the first stove burner because there was already a pot on it.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface inside the refrigerator. This action resulted in the egg being broken before it could be cooked.",0
cookEgg,cookEgg-3,planning,"A potato is inside the pan at the beginning of the task execution, and the robot never removed it from the pan.","At 00:13, the robot failed to cook the egg because it closed the fridge while still holding the egg, causing the egg to drop and crack upon impact as observed in the auditory and visual data. This premature closure prevented the robot from proceeding to crack the egg into a pan, which is a necessary step for cooking.",0
cookEgg,cookEgg-6,execution,The robot never cracked the egg and put an uncracked egg in the pan.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the fridge. This action resulted in the egg being broken before it could be cooked.",0
cookEgg,cookEgg-4,execution,The robot failed to open the fridge.,"At 00:05, the robot failed to open the refrigerator door despite executing the action, as the visual observation still reported the fridge as closed. This failure likely stems from an inability to successfully interact with the fridge handle or a sensor error preventing the door from opening, leaving the robot unable to retrieve the egg.",1
cookEgg,cookEgg-5,planning,"The robot mis-identified book as pan, and picked up the book instead of the pan. The book cannot be put on the stove burner.","At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface inside the refrigerator. This action resulted in the egg being broken before it could be cooked.",0
cookEgg,cookEgg-8,execution,"The pan is dirty at the beginning of the task execution, and the robot never cleaned the pan.","At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the closed door. This action resulted in the egg being broken before it could be cooked.",0
cookEgg,cookEgg-9,execution,The robot did not put down the egg in its gripper before trying to pick up the pan.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the closed door. This action resulted in the egg being broken before it could be cooked.",0
cookEgg,cookEgg-7,execution,"The robot never opened the fridge, as a result, it could not retrieve the egg from fridge.","At 00:14, the robot failed to pick up the egg because its visual observation still reported the fridge as closed and its gripper as empty, indicating it could not locate or access the egg despite moving towards it. This suggests the robot's perception system did not successfully detect the egg or the state change required to retrieve it before the failure occurred.",0
heatPotato,heatPotato-1,execution,Dropped Plate,"At 00:44, the robot dropped the plate containing the potato onto a hard surface, as indicated by the auditory observation of an object cracking. Consequently, by 01:10, the robot failed to heat the potato because the plate was empty and the microwave remained closed and turned off.",1
heatPotato,heatPotato-10,planning,"The robot should not toggle on the microwave before trying to open it. As a result, the robot cannot open a microwave that is turned on.","At 01:34, the robot attempted to open the microwave, but the action failed because the microwave remained closed and turned on, indicating the robot could not access the interior to place the potato inside for heating. The failure was caused by the robot's inability to successfully open the microwave door after turning it on, preventing the completion of the heating task.",0
heatPotato,heatPotato-2,planning,"A bowl is already inside the microwave, as a result, the plate cannot be put inside the microwave due to limited space.","At 01:55, the robot attempted to place the plate containing the potato into the microwave, but the action failed because a bowl was already inside the microwave, preventing the plate from being inserted. The failure was caused by the robot proceeding to put the plate in the microwave without first checking for or removing the existing bowl.",1
heatPotato,heatPotato-5,execution,"The robot never opened the microwave, as a result, the plate cannot be put inside the microwave.","At 01:12, the robot failed to open the microwave door before attempting to place the plate inside, likely because it did not detect that the microwave was closed and turned off. This prevented the robot from completing the action of putting the potato into the microwave to heat it.",1
heatPotato,heatPotato-4,execution,The robot failed to open the microwave.,"At 01:07, the robot failed to heat the potato because it could not open the microwave door, as the door remained closed and turned off despite the robot's attempt to interact with it. This failure occurred while the potato was still sitting on the dining table, as the robot had not successfully placed the potato inside the microwave prior to this step.",1
heatPotato,heatPotato-3,planning,"An apple is inside the plate already and the robot never removed it, as a result, the potato cannot be put on top of the plate due to limited plate.","At 00:37, the robot successfully placed the potato on the plate, but the task failed because an apple was already sitting on top of the plate, preventing the potato from being positioned correctly or heated as intended. The presence of the apple on the plate at 00:33 and 00:34 indicates that the environment was not prepared for the potato placement, leading to the failure at 00:37.",1
heatPotato,heatPotato-6,planning,"The robot mis-identified apple as potato, and heated an apple instead of a potato.","At 00:23, the robot failed to pick up the potato because its gripper contained an apple instead, indicating a grasping error where the wrong object was selected or retained from a previous interaction. This prevented the intended action of heating the potato as the robot was holding an irrelevant item.",0
heatPotato,heatPotato-8,execution,The robot should use a microwave-safe container (e.g. Plate) to heat the potato instead of a pan.,"At 01:45, the robot attempted to place the pan containing the potato into the microwave, but the action failed because the microwave was observed to be ""turned off"" and likely not in the correct state for heating. The failure was caused by the robot proceeding to insert the pan without first verifying that the microwave was powered on and ready for operation.",0
heatPotato,heatPotato-7,execution,"The plate is dirty at the beginning of the task execution, and the robot never cleaned it.","At 01:58, the robot failed to heat the potato because it closed the microwave door while the plate containing the potato was still inside, causing an object to drop or crack upon impact. This failure occurred immediately after the robot placed the plate in the microwave at 01:55 but before it could start the heating cycle or remove the plate.",0
heatPotato,heatPotato-9,planning,"The robot should have closed the microwave before trying to toggle it on. As a result, the robot could not toggle on a microwave that is open.","At 01:58, the robot attempted to turn on the microwave, but the action failed because the microwave remained in the ""turned off"" state despite the command. This failure was likely caused by the robot placing the entire plate with the potato inside the microwave at 01:55, which may have prevented the door from closing properly or triggered a safety mechanism that blocked the power toggle.",0
makeCoffee,makeCoffee-1,execution,Dropped Mug,"At 00:19, the robot dropped the mug it had picked up at 00:17, as evidenced by the auditory observation of an object cracking and the subsequent visual confirmation that the gripper was empty. This failure at 00:22 resulted from the robot's inability to maintain its grip on the mug, preventing it from proceeding with the coffee-making task.",1
makeCoffee,makeCoffee-10,planning,"The robot put the mug inside the coffee machine after the coffee machine was turned off, as a result, the mug remained empty.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The robot failed to execute the necessary step of cleaning the mug or turning on the coffee machine, leaving the task incomplete.",0
makeCoffee,makeCoffee-2,execution,Dropped Mug,"At 00:32, the robot prematurely turned off the faucet immediately after successfully filling and cleaning the mug, causing the task to fail because the coffee machine remained turned off and no coffee could be brewed. The failure was triggered by an unnecessary action to stop the water flow once the mug was already clean and full.",0
makeCoffee,makeCoffee-4,execution,"The mug was already filled with water at the beginning of the task execution, and the robot never emptied it.","At 00:36, the robot incorrectly toggled the coffee machine off immediately after turning it on, preventing the brewing process from starting. This failure was likely caused by a misinterpretation of the auditory observation, where the sound of the machine turning on was mistakenly identified as the machine already being active or a different sound, leading to an erroneous shutdown command.",0
makeCoffee,makeCoffee-3,planning,"The robot failed to put the mug inside the coffee machine because there was already a cup inside it, occupying the space.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The sequence of actions shows the robot filled the dirty mug with water but did not proceed to clean it or move it to the coffee machine, leading to an incomplete task execution.",0
makeCoffee,makeCoffee-5,execution,The robot failed to put the mug inside the sink (or on top of the sink basin).,"At 00:22, the robot failed to release the mug onto the sink, as the visual observation still indicated the mug was inside the robot gripper despite the action command to put it down. This suggests a failure in the robot's actuation or control system to execute the ""Put mug on sink"" command successfully.",1
makeCoffee,makeCoffee-6,planning,"The robot mis-identified bowl as mug, as a result, the bowl cannot be put inside the coffee machine.","At 00:23, the robot failed to pick up the intended mug because its gripper closed around a bowl instead, likely due to a misidentification of the object or a navigation error that led it to the wrong item. This caused the coffee-making task to fail as the robot attempted to use the wrong container.",1
makeCoffee,makeCoffee-8,execution,"The mug is dirty at the beginning of the task execution, and the robot never cleaned the mug.","At 00:30, the robot failed to brew coffee because it placed a dirty, empty mug into a coffee machine that was still turned off. The failure was caused by the robot proceeding with the task without first turning on the coffee machine or cleaning the mug.",1
makeCoffee,makeCoffee-7,execution,"The robot never executed the action to pour water from mug after cleaning it. As a result, the mug cannot be filled with coffee.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The robot failed to recognize that the ""clean"" status of the mug was conditional on completing the washing cycle, leading to an incorrect termination of the water flow.",0
makeCoffee,makeCoffee-9,execution,"The robot plan should not use a bowl instead of a mug or cup to make coffee. As a result, the bowl cannot be put inside the coffee machine.","At 00:50, the robot attempted to place the bowl into the coffee machine, but the action failed because the coffee machine was turned off and the bowl remained inside the robot's gripper instead of being deposited. The failure was caused by the robot trying to interact with an inactive appliance while holding an object that is not suitable for making coffee.",1
makeSalad,makeSalad-1,execution,Wrong order - knife is put on countertop before slicing tomato,"At 02:05, the robot attempted to slice the potato but failed because the potato was not picked up from the countertop, leaving the gripper empty while the knife remained in the robot's hand. This indicates a failure in the object interaction or grasping step required before the slicing action could be successfully executed.",1
makeSalad,makeSalad-10,execution,"Failed to successfully execute (pick_up, TomatoSliced)","At 02:38, the robot failed to successfully place the lettuce slice into the bowl; instead, the observation indicates the slice is merely positioned ""above"" the bowl while remaining on the countertop. This failure was likely caused by the robot's inability to execute the ""Put"" action correctly, resulting in the ingredient not being transferred into the container as intended.",0
makeSalad,makeSalad-2,execution,Wrong plan - potato slice is put in pan instead of the bowl,"At 02:31, the robot incorrectly placed the potato slice into the clean pan instead of the salad bowl, likely due to a misidentification of the target container or a navigation error. This action violated the task requirement to store the salad ingredients in the bowl before refrigeration, causing the failure.",1
makeSalad,makeSalad-3,execution,Wrong plan - apple instead of tomato,"At 03:20, the robot failed to successfully close the fridge door, as indicated by the auditory observation of an object dropping or cracking on a hard surface. This suggests that the bowl containing the salad ingredients was likely dropped or the door mechanism malfunctioned during the closing action.",0
makeSalad,makeSalad-4,planning,Wrong perception: pan and bowl,"At 03:24, the robot failed to place the salad bowl into the fridge because it mistakenly picked up the pan instead of the bowl at 03:08. Consequently, the robot placed the empty pan inside the open fridge while the bowl containing the sliced vegetables remained on the countertop.",1
makeSalad,makeSalad-5,execution,Missing step - slice potato,"At 02:30, the robot attempted to place the lettuce slice into the bowl, but the action failed because the lettuce slice remained on the countertop above the bowl instead of being successfully deposited inside. This failure was likely caused by the robot's inability to properly align the object or execute the placement maneuver, as evidenced by the observation that the lettuce slice was still ""above bowl"" and not ""inside robot gripper"" after the action.",0
makeSalad,makeSalad-6,execution,"Failed to successfully execute (pick_up, Bowl)","At 02:46, the robot successfully opened the fridge but immediately failed to place the salad bowl inside, instead moving back to the bowl at 02:47. This failure was caused by the robot's inability to grasp the bowl after opening the fridge, as evidenced by the observation that the gripper remained empty while the bowl stayed on the countertop.",1
makeSalad,makeSalad-7,execution,"Missing (pick_up, LettuceSliced), (put_in, LettuceSliced, Bowl)","At 03:10, the robot failed to successfully close the fridge door, as indicated by the auditory observation of an object dropping or cracking on a hard surface. This suggests that the robot likely dropped the bowl (or another object) while attempting to push the fridge door shut, causing the task to fail.",0
makeSalad,makeSalad-8,execution,"Failed to successfully execute (put_on, Tomato, CounterTop)","At 01:19, the robot attempted to place the tomato into the bowl but failed because the visual observation still reported the tomato as being ""inside robot gripper"" rather than showing it successfully released into the bowl. This indicates a failure in the object release mechanism or a sensor error preventing the system from recognizing that the tomato had been deposited.",1
storeEgg,storeEgg-1,execution,Wrong plan - robot puts pan instead of bowl in the fridge,"At 01:03, the robot failed to store the egg because it closed the fridge door while the egg was still missing from its gripper, as indicated by the observation ""nothing is inside robot gripper."" The auditory observation of an object dropping or cracking at this moment suggests the robot likely dropped the egg or attempted to close the door with an empty gripper, preventing the task completion.",0
storeEgg,storeEgg-10,execution,"Missing (pick_up, Egg)","At 00:57, the robot failed to store the egg because it closed the fridge door while the egg was still outside, leaving the gripper empty. This failure was likely caused by the robot misinterpreting the open fridge state or failing to execute a pick-and-place action to retrieve the egg from the countertop before closing the door.",0
makeSalad,makeSalad-9,execution,Dropped Bowl,"At 02:38, the robot attempted to place the lettuce slice into the bowl, but the action failed because the visual observation indicates the lettuce slice remained on the countertop rather than being inside the bowl. This suggests the robot either dropped the item before reaching the bowl or misjudged the placement, leaving the ingredient outside the container as the task requires.",0
storeEgg,storeEgg-2,planning,lettuce is blocking the egg,"At 00:16, the robot failed to successfully pick up the egg because the auditory observation of an object dropping or cracking, combined with the visual confirmation that the gripper remained empty, indicates the egg was dropped or shattered upon contact with the hard surface of the fridge shelf. This loss of the object prevented the robot from completing the task of storing the egg in the bowl.",0
storeEgg,storeEgg-3,execution,Wrong plan - robot puts egg in the pan instead of bowl,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop outside, leaving the object unsecured. This action was likely triggered by a navigation or task-planning error where the robot prioritized closing the appliance over placing the egg inside, resulting in the egg being left behind.",0
storeEgg,storeEgg-4,planning,Ambiguous plan - says some container (maps to pan),"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop outside, leaving the object unsecured. This action was likely triggered by a navigation or task-planning error where the robot prioritized closing the appliance over placing the egg inside, resulting in the egg being left behind.",0
