episode,sample_second,source_timestamp_sec,action,scene_graph_text,raw_l1_line,source
appleInFridge1,0,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,10,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,20,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,30,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,40,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,50,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,60,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,70,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,80,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,90,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,100,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,110,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,120,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,130,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,140,63,Put apple in bowl,apple. nothing is inside robot gripper.,01:03. Action: Put apple in bowl. Visual observation: apple. nothing is inside robot gripper.,real_data/state_summary_L1 (runner-style cache)
appleInFridge1,150,145,Open fridge,"table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper.","02:25. Action: Open fridge. Visual observation: table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper.",real_data/state_summary_L1 (runner-style cache)
appleInFridge1,160,145,Open fridge,"table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper.","02:25. Action: Open fridge. Visual observation: table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper.",real_data/state_summary_L1 (runner-style cache)
appleInFridge1,170,145,Open fridge,"table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper.","02:25. Action: Open fridge. Visual observation: table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper.",real_data/state_summary_L1 (runner-style cache)
appleInFridge1,180,177,Pick up bowl,"apple-1, fridge-1 (with door open), fridge-2 (with door open), table, apple-2. apple-1 is inside fridge-1. apple-1 is inside fridge-2. fridge-1 is inside fridge-2. apple-1 is inside apple-2. apple-2 is inside fridge-2. nothing is inside robot gripper.","02:57. Action: Pick up bowl. Visual observation: apple-1, fridge-1 (with door open), fridge-2 (with door open), table, apple-2. apple-1 is inside fridge-1. apple-1 is inside fridge-2. fridge-1 is inside fridge-2. apple-1 is inside apple-2. apple-2 is inside fridge-2. nothing is inside robot gripper.",real_data/state_summary_L1 (runner-style cache)
appleInFridge1,190,177,Pick up bowl,"apple-1, fridge-1 (with door open), fridge-2 (with door open), table, apple-2. apple-1 is inside fridge-1. apple-1 is inside fridge-2. fridge-1 is inside fridge-2. apple-1 is inside apple-2. apple-2 is inside fridge-2. nothing is inside robot gripper.","02:57. Action: Pick up bowl. Visual observation: apple-1, fridge-1 (with door open), fridge-2 (with door open), table, apple-2. apple-1 is inside fridge-1. apple-1 is inside fridge-2. fridge-1 is inside fridge-2. apple-1 is inside apple-2. apple-2 is inside fridge-2. nothing is inside robot gripper.",real_data/state_summary_L1 (runner-style cache)
